Wii-U Title Keys
----------------

d7b00402659ba2abd2cb0db27fa2b656 # Common
805e6285cd487de0faffaa65a6985e17 # Espresso Ancast

e44b226422eb84923c05ccddc62ad487 # Adventure Time: Explore the Dungeon Because I DON'T KNOW! [USA, NUS]
b5ec6cbfeaf57679afe5ed8cff2539cb # Just Dance 2015 [EUR, NUS]
a44bed3797ce08487560c37c437c9315 # Just Dance 2015 [EUR, WUD]
e147acee483091ca43a483c59486f295 # Just Dance 2015 [USA, NUS]
3279fd7cb316491385f964f71ccd6bb9 # Just Dance 2015 [USA, WUD]
a219f79958397b833f2d8aa11e9005c9 # Just Dance 2016 [EUR, NUS]
ba3a06f9dab9e0ee9b175abf4a05e1b3 # Just Dance 2016 [EUR, WUD]
b685d174175996dfcef21b6a14c601b1 # Just Dance 4 [USA, NUS]
3446ba5e0730511e83c179ef30db1498 # Just Dance 4 [USA, WUD]
38c95d99751e926faaad6ab729eaf019 # Just Dance Disney Party 2 [EUR, NUS]
5a105e3cd2dbc6d4def80a83f7e7312f # Just Dance Disney Party 2 [EUR, WUD]
76e192e2e3e21f71e90e84a6293dbb6d # Just Dance Kids 2014 [EUR, NUS]
43d852e557e334b1a5e33eb996b4fd3f # Just Dance Kids 2014 [EUR, WUD]
692c342e0fdc414b8554f1411c0e11e5 # Just Dance Kids 2014 [USA, NUS]
5cf81cf7a17bfee9902053bb1cf7fc68 # Just Dance Kids 2014 [USA, WUD]
01265ade8982ca1c4db1faa06837caac # Kirby and the Rainbow Curse [USA, NUS]
4bd0066d40a4dcf22564edcc62034405 # Kirby and the Rainbow Curse [USA, WUD]
a5c4acfe5c6bd6ea693f7faa3c28460b # Kirby and the Rainbow Paintbrush [EUR, NUS]
b8095227bbca7f592955cdb5a2847daf # Kirby and the Rainbow Paintbrush [EUR, WUD]
03b547650935553b0fbd6690082e8cdb # LEGO Batman 2: DC Super Heroes [USA, NUS]
bc55ae4c7708c908262797d7fed9f66a # LEGO Batman 2: DC Super Heroes [USA, WUD]
977ac526183a17522debeb72d5592bc5 # LEGO Batman 3: Beyond Gotham [USA, NUS]
66b828d19b9740f3fd2137b94a5e0228 # LEGO Batman 3: Beyond Gotham [USA, WUD]
4a0aea463b9253839f77b946f02ed6e8 # LEGO Jurassic World [EUR, NUS]
3c093302bec98d4d50d06bc5d719b9c4 # LEGO Jurassic World [EUR, WUD]
5e958248b5f31f23292bf5b4b7884cb3 # LEGO Marvel Super Heroes [EUR, NUS]
ab45e33a98f630d0b57bd2d4a94e8d16 # LEGO Marvel Super Heroes [EUR, WUD]
59d69046c1f77dbe0f02e7493d4b947e # LEGO Marvel Super Heroes [USA, NUS]
f1f9986baec0905556c166fd8179ed28 # LEGO Marvel Super Heroes [USA, WUD]
1e91e4c3ed854a67f7192cff2f0bfe1f # LEGO The Hobbit [EUR, NUS]
6b2e41407b1874faca3125a0ef52f0aa # LEGO The Hobbit [EUR, WUD]
b08e7b01c7962115d6f10b4513ce5a96 # Legend of Kay Anniversary [EUR, NUS]
bf2df8a0abac0e6ad84add4ca1c41a65 # Legend of Kay Anniversary [EUR, WUD]
b0c44b28e2aeca7533640d8a97b6f746 # MARVEL Avengers: Battle for Earth [EUR, NUS]
027c9557648a1a999aa7848319bb5ef2 # MARVEL Avengers: Battle for Earth [EUR, WUD]
76e7ad38eed475ffbd7b416f49f34fe9 # MARVEL Avengers: Battle for Earth [USA, NUS]
fd28826dbe69e1d2a82227efd6c0b4a4 # MARVEL Avengers: Battle for Earth [USA, WUD]
7aa1ebdb541f8ea4944da89c5c6b3c7b # Madden NFL 13 [USA, NUS]
61c2705fc0e6dabd18c839c185715daa # Madden NFL 13 [USA, WUD]
32efa28edf2adf16990a175263ba84db # Mario Kart 8 [EUR, NUS]
bd93ee20e2f0d3f368201acd5fd08224 # Mario Kart 8 [EUR, WUD]
d20395e40428036c3978a46fb14dc3b2 # Mario Kart 8 [USA, NUS]
c3f873c4e01ea02817e182898ecebc74 # Mario Kart 8 [USA, WUD]
749b617035cbefe57f55fd5ddba11b75 # Mario Party 10 [EUR, NUS]
e850b616569bdb7a098edae97596f74b # Mario Party 10 [EUR, WUD]
545dd3f0b9b219ecb79e65ae44227c11 # Mario Party 10 [USA, NUS]
2435bfa7ddb355a52b8c1bbd195df257 # Mario Party 10 [USA, WUD]
2344b2dc8abfa9705a54fdb87fd96f20 # Mario and Sonic at the Sochi 2014 Olympic Winter Games [EUR, NUS]
16f79859846235cff610931d7cd6b523 # Mario and Sonic at the Sochi 2014 Olympic Winter Games [EUR, WUD]
af835c2a7fffd0908953ac2a3f1f2ab6 # Mario and Sonic at the Sochi 2014 Olympic Winter Games [USA, NUS]
4d8ac30359b9311f0602883a778a6d07 # Mario and Sonic at the Sochi 2014 Olympic Winter Games [USA, WUD]
b54592c391e6c5e8c8de0c8b062b00c6 # Mass Effect 3 [EUR, NUS]
55b5520f278b34e6bf41ca3052c6a159 # Mass Effect 3 [EUR, WUD]
374a46731b734d7e66d4874a765641e8 # Monster High: 13 Wishes [EUR, NUS]
4b489b5a2714d6604152baf198943f5d # Monster High: 13 Wishes [EUR, WUD]
ca75cc4d78a0dc3747ea94bfa6763111 # Monster Hunter 3 Ultimate [EUR, NUS]
e99db9bb9d3d7785f87268927e0caf50 # Monster Hunter 3 Ultimate [EUR, WUD]
b24db5464bf5e4c01c99243f8f0767cf # Monster Hunter 3 Ultimate [USA, NUS]
88865019789742191c1eaf0a7be93390 # Monster Hunter 3 Ultimate [USA, WUD]
5ff5bc8afc78e260d2120964e0661e65 # NES Remix Pack [USA, NUS]
617c67f593c1e390c71bbb8cfb027879 # NES Remix Pack [USA, WUD]
3807eb2b1a9d359c6dcac94a2330080e # Need for Speed: Most Wanted U [EUR, NUS]
a788c28f192ecf1790c2050c1ef5bcb2 # Need for Speed: Most Wanted U [EUR, WUD]
0d0c05e0b3d51deef35debdab0639a07 # Need for Speed: Most Wanted U [USA, NUS]
5df33c1cffc42fd3365d6b1c552b7055 # Need for Speed: Most Wanted U [USA, WUD]
210fe8b5ea9477293641e5524d797924 # New Super Luigi U [EUR, NUS]
2829df9d2d2832232c9ca82b05add6c8 # New Super Luigi U [EUR, WUD]
a5efde418b94803dec2aaeaed964f49f # New Super Luigi U [USA, NUS]
36cbf412298a38babd2e481e1356f7bb # New Super Luigi U [USA, WUD]
f11016b040ed761439eea475e7786d8c # New Super Mario Bros U [EUR, NUS]
04ac7a687613016d99d067e5f894c5d9 # New Super Mario Bros U [EUR, WUD]
79c7ec6e178c9c010ec6363380dbbcef # New Super Mario Bros U [USA, NUS]
185f9d54d98599ab5fc4acec76e86645 # New Super Mario Bros U [USA, WUD]
c0d5e622dd7b9634f79d33219ba9b722 # Ninja Gaiden 3: Razor's Edge [USA, NUS]
641ce778521e730cddd02208d8f842e5 # Ninja Gaiden 3: Razor's Edge [USA, WUD]
255b238396ea9a7333868c72723ac829 # Nintendo Land [EUR, NUS]
ef73c338cf794c103c6a3de878eda33c # Nintendo Land [EUR, WUD]
20e559ec5d5aedc6585bf5a19176b46e # Nintendo Land [USA, NUS]
b0d8491c8b9835dc98057723ed2200ca # Nintendo Land [USA, WUD]
36c0d664645154d4768eff5898efa541 # One Piece: Unlimited World Red [EUR, NUS]
e8a58307cdb875216e8ca897259b7ad9 # One Piece: Unlimited World Red [EUR, WUD]
af074bce1bd9763e9a1b9c2bc44e75df # Pac-Man and the Ghostly Adventures 2 [EUR, NUS]
336bb7f114c0357f45e6edcd66c72219 # Pac-Man and the Ghostly Adventures 2 [EUR, WUD]
bf01ad9814ff9873895ad7220a310ecc # Pac-Man and the Ghostly Adventures [EUR, NUS]
627f740726051470c78abb6ab551f687 # Pac-Man and the Ghostly Adventures [EUR, WUD]
027f33741b62681b8dc6d3dc63be8b54 # Pac-Man and the Ghostly Adventures [USA, NUS]
5b6a1a6f65200a6569a78fee7cc4c591 # Pac-Man and the Ghostly Adventures [USA, WUD]
6eb694c49dbb47e2276b3b0466db608e # Penguins of Madagascar [EUR, NUS]
7cf7eb668f55e41289a64a8d3eea4088 # Penguins of Madagascar [EUR, WUD]
5b4c8d3c14c64ce7b3f232d810621eac # Phineas and Ferb: Quest for Cool Stuff [USA, NUS]
a9093884399f81bdf79db4d53b42cba4 # Phineas and Ferb: Quest for Cool Stuff [USA, WUD]
7945ebeb6b9a3ccc0a8df22ba44c0319 # Pikmin 3 [EUR, NUS]
9bfa97ae658c60428249100e48a00cf1 # Pikmin 3 [EUR, WUD]
60c932ffa0bc9ceddef92fa34284fa76 # Pikmin 3 [USA, NUS]
2adecdd154fbfe2c2e56ef27f8344796 # Pikmin 3 [USA, WUD]
19b71d1d9c7ca0a4d8963ca3b632dec8 # Project Zero: Maiden of Black Water [EUR, NUS]
5aa4fe0667d718c33dfc1685c0f61058 # Project Zero: Maiden of Black Water [EUR, WUD]
f54da6b2dbd83266dc7a0cbfee4697e1 # Rabbids Land [EUR, NUS]
c6fea5a33b5cfbe89404fc91dd7779bb # Rabbids Land [EUR, WUD]
d12d3300a74354048548ce465b812911 # Rayman Legends [EUR, NUS]
88d3c286cf57acf1bcfa4c1973650487 # Rayman Legends [EUR, WUD]
f66341038a304cde6d06948eb2e09576 # Rayman Legends [USA, NUS]
dea0e7c621dcf00a8890e0a314348505 # Rayman Legends [USA, WUD]
ea144ac216d70cb962fa2d1984ae4cb7 # Resident Evil Revelations [EUR, NUS]
b61e04df91ed22fbe0c298546b679f70 # Resident Evil Revelations [EUR, WUD]
91f3858e67fd8572497e238fbe81361a # Rise of the Guardians [EUR, NUS]
348a322f3cff463f7d74aa4dd5984ee8 # Rise of the Guardians [EUR, WUD]
3491b1008edf6111c9ee72767539d870 # Scribblenauts Unmasked: A DC Comics Adventure [USA, NUS]
f381a211c0d02b0eafa9eb9ea45605fd # Scribblenauts Unmasked: A DC Comics Adventure [USA, WUD]
0886588ff73a003586c5fced6d67232f # Scribblenauts: Unlimited [USA, NUS]
27d0ad69de06abcad8424e0360731e15 # Scribblenauts: Unlimited [USA, WUD]
5c2655e9333143c132bdcab2af75295e # Shovel Knight [EUR, NUS]
830f0ffb378184c3612f122517d2c0d5 # Shovel Knight [EUR, WUD]
48cf967c858f07e43b9200362287a8f9 # Skylanders: Giants [USA, NUS]
c69c2c6791441916de9d2a0e002226c7 # Skylanders: Giants [USA, WUD]
d30f1098bcc22864bd9afd40885842e2 # Skylanders: Swap Force [EUR, NUS]
7b8f1eabecac3e0a553fca692a5fb818 # Skylanders: Swap Force [EUR, WUD]
c6e0ddc36a7877269f162dd45c21ed65 # Sniper Elite V2 [EUR, NUS]
a8cac8d4055320b80216d1a5edc714a4 # Sniper Elite V2 [EUR, WUD]
9bcfe96f2f2f02544e6f0e0811e9f407 # Sniper Elite V2 [USA, NUS]
07b4fec36fb501a5b22b72b32a1c905c # Sniper Elite V2 [USA, WUD]
5551978ae3dc104852b3b76a70a34390 # Sonic & All-Stars Racing Transformed [USA, NUS]
14fc7d05a34ae9e293a320a8a73ac8af # Sonic & All-Stars Racing Transformed [USA, WUD]
0d7d95f5cea2ce86c0056eaed42c4098 # Sonic Lost World [USA, NUS]
99bc84db36303155e70b5c9869ce4e86 # Sonic Lost World [USA, WUD]
93b991687b03be0b59ce7aac6e9bce57 # Splatoon [EUR, NUS]
0a86710661b48cbc08f51de03ed7423e # Splatoon [EUR, WUD]
8e8a269c5f71b1c721ee25464305e9ad # SpongeBob SquarePants: Plankton's Robotic Revenge [USA, NUS]
beb23e52ba3058c5ddf671b9a7006938 # SpongeBob SquarePants: Plankton's Robotic Revenge [USA, WUD]
5b5750e1b8915bfd7d33e6a9bfdd1973 # Sports Connection [EUR, NUS]
513d347ddc4e502a07a122ec989c5fea # Sports Connection [EUR, WUD]
0841ba8e8a302dc84e191ba7568f0308 # Super Mario 3D World [EUR, NUS]
78a89f4db548d4f8937e31df99447462 # Super Mario 3D World [EUR, WUD]
3cec63f6c87d47ae13768d9542f9e979 # Super Mario 3D World [USA, NUS]
e23aea154f1428156d25bfcc40f63856 # Super Mario 3D World [USA, WUD]
e03d93bfc0f413fabda431a1903cc350 # Super Mario Maker [EUR, NUS]
03650cd0e681b2117eb7044129c6b8b5 # Super Mario Maker [EUR, WUD]
838cb2a5ee10408e64c1c9e19d8c7532 # Super Smash Bros. for Wii U [EUR, NUS]
36262b5f49c69164e3be2bb87c9922a7 # Super Smash Bros. for Wii U [EUR, WUD]
7b5bb5ca225196786893fd72ddbf82ad # Super Smash Bros. for Wii U [USA, NUS]
a851d78ab8f0a6fe1e93cfceaf99a179 # Super Smash Bros. for Wii U [USA, WUD]
c9e812e5e925b50b2fcb178668033ae3 # TANK! TANK! TANK! [USA, NUS]
6eff589114dcc07e9aa4ca9417b0aa30 # TANK! TANK! TANK! [USA, WUD]
0ca6bbf53c1700dafd0f03da1f947d16 # Teslagrad [EUR, NUS]
7e15bfff892cb261a5662305619b3b4d # Teslagrad [EUR, WUD]
a1193e71d052aed55d765dde201c456c # The Amazing Spider-Man 2 [EUR, NUS]
00057de864ae390acc8c7944d962094f # The Amazing Spider-Man 2 [EUR, WUD]
07cd3c27cebd34a02575868151dcd79b # The Croods: Prehistoric Party [EUR, NUS]
1cabef8b18d8da01a04f6642b72ecd1b # The Croods: Prehistoric Party [EUR, WUD]
61c73b17a4ce3fc76e9e7311208ebb3a # The Croods: Prehistoric Party [USA, NUS]
57a33e461fbe8cff8a9b681be7004077 # The Croods: Prehistoric Party [USA, WUD]
4720dfe7d13cf17114b62cd627507210 # The LEGO Movie Videogame [EUR, NUS]
7463e61595fd756054d172aef57c7c15 # The LEGO Movie Videogame [EUR, WUD]
dcb529e0e834bc86cf84b4d575ada08c # The Legend of Zelda: The Wind Waker HD [EUR, NUS]
86352af010c87e10c4b39dbc42c874e9 # The Legend of Zelda: The Wind Waker HD [EUR, WUD]
3cd545e19bbcb54e41db3169f7432ea1 # The Legend of Zelda: The Wind Waker HD [USA, NUS]
c0fe8aaee5f6e7b5b1074a460906a28f # The Legend of Zelda: The Wind Waker HD [USA, WUD]
d7efaa82894692e01823cd1267741a26 # The Legend of Zelda: Twilight Princess HD [EUR, NUS]
474f74e81658e9af5ae79c9075852d12 # The Legend of Zelda: Twilight Princess HD [EUR, WUD]
25a842077683342147edb6e0fdd56891 # The Smurfs 2 [USA, NUS]
6936466da81dbdd2fb87bda757a78afc # The Smurfs 2 [USA, WUD]
51e90b644e87a602962d303055a9e521 # The Wonderful 101 [EUR, NUS]
163a438dab9de5b898715bd8948f9789 # The Wonderful 101 [EUR, WUD]
a3ad535efa3c1eb24ed368417a15616c # The Wonderful 101 [USA, NUS]
473d3242335124df069616de03eeb926 # The Wonderful 101 [USA, WUD]
574f8374f715b5e24d388f22117c2b99 # Tom Clancy's Splinter Cell Blacklist [EUR, NUS]
c3d1442d1c1a269e64dd72b08711fb60 # Tom Clancy's Splinter Cell Blacklist [EUR, WUD]
0a982cc0f852e2eebd20fe97aec9427b # Transformers Prime [EUR, NUS]
1086c8beb294e2ebb0d6edbe1dce3097 # Transformers Prime [EUR, WUD]
6814dfc7d9f9be9a4280696b034beb34 # Transformers: The Dark Spark [EUR, NUS]
557584668500dbab4636e11458fe6cf0 # Transformers: The Dark Spark [EUR, WUD]
2892753728614a875e32269675a07570 # Turbo: Super Stunt Squad [EUR, NUS]
1618b50ae8c5de5174d6a1189a8f83a8 # Turbo: Super Stunt Squad [EUR, WUD]
428620c106a4b1b05b9dc8c72bc213e9 # Turbo: Super Stunt Squad [USA, NUS]
0d98c64cc900bcb607f67bddcd126c0a # Turbo: Super Stunt Squad [USA, WUD]
66b0a9f0ebe76a64f3d77c7fb8f2d2cb # Warriors Orochi 3 Hyper [EUR, NUS]
6ce257acde3b3b159f000a52c57db30a # Warriors Orochi 3 Hyper [EUR, WUD]
85e7de2a954de895f96c5a95f32dfb6f # Watch Dogs [EUR, NUS]
8774ffdc363f27f678e7ff404dcc12ce # Watch Dogs [EUR, WUD]
1eec9067c668f9941a43f2bab5b711ef # Wii Fit U [USA, NUS]
a5997d1423310d7d9be571b306950558 # Wii Fit U [USA, WUD]
56c56f84fe3bbe4675a4a0f55aca61a6 # Wii Party U [USA, NUS]
02b7522a5d67d795985f7686cb78d0af # Wii Party U [USA, WUD]
708a94d2d586b7c57716d1ce4e5036fc # Wii Sports Club [USA, NUS]
e169b720dc634c8e8f0ec38b946fc25b # Wii Sports Club [USA, WUD]
4d292e41f8903537c062bc4dc93782d5 # Wipeout 3 [USA, NUS]
f23d561665d70b43cbe810e6834703ad # Wipeout 3 [USA, WUD]
df5e4210cebad673afa47eff24c89b64 # Xenoblade Chronicles X [EUR, NUS]
c04ae37f8313055aecb61707529ac2a6 # Xenoblade Chronicles X [EUR, WUD]
f02f3dc363780d36cd04c528c415775b # Yoshi's Woolly World [EUR, NUS]
c740789881619e80ec2443dfc0c099ac # Yoshi's Woolly World [EUR, WUD]
8fd64d117c2f43951ca2247e1b6fd534 # Your Shape: Fitness Evolved 2013 [EUR, NUS]
89aa9745b4636a4bf0f530cf33e7e604 # Your Shape: Fitness Evolved 2013 [EUR, WUD]
98794aaafdbf1b4c23433098130a080f # Your Shape: Fitness Evolved 2013 [USA, NUS]
92398f89868c4e4d907b13a8383d1ded # Your Shape: Fitness Evolved 2013 [USA, WUD]
16bbbc94724cae7cc82cc3163ba6109a # ZombiU [EUR, NUS]
71cac7a8237ccc763931b85cce69fce3 # ZombiU [EUR, WUD]
870725d3b027c64e1a5dc7aec3b150b9 # ZombiU [USA, NUS]
fd6fb49cf1098befd684207f2f715842 # ZombiU [USA, WUD]
